192.168.0.100,94.131.15.79,56606,46056,10,2166
94.131.15.79,192.168.0.100,46056,56606,12,6778
192.168.0.100,94.131.15.79,56608,46056,11,2723
94.131.15.79,192.168.0.100,46056,56608,12,6778
192.168.0.100,94.131.15.79,56610,46056,11,2733
94.131.15.79,192.168.0.100,46056,56610,12,6778
192.168.0.100,94.131.15.79,56612,46056,10,2203
94.131.15.79,192.168.0.100,46056,56612,12,6778
192.168.0.100,94.131.15.79,56614,46056,10,2194
94.131.15.79,192.168.0.100,46056,56614,12,6778
192.168.0.100,94.131.15.79,56616,46056,10,2348
94.131.15.79,192.168.0.100,46056,56616,12,6778
192.168.0.100,94.131.15.79,56618,46056,11,2494
94.131.15.79,192.168.0.100,46056,56618,12,6778
192.168.0.100,94.131.15.79,56620,46056,10,2235
94.131.15.79,192.168.0.100,46056,56620,12,6778
192.168.0.100,94.131.15.79,56622,46056,11,2668
94.131.15.79,192.168.0.100,46056,56622,12,6778
192.168.0.100,94.131.15.79,56624,46056,11,2682
94.131.15.79,192.168.0.100,46056,56624,12,6778
192.168.0.100,94.131.15.79,56626,46056,11,2695
94.131.15.79,192.168.0.100,46056,56626,12,6778
192.168.0.100,94.131.15.79,56628,46056,10,2281
94.131.15.79,192.168.0.100,46056,56628,11,6718
192.168.0.100,94.131.15.79,56630,46056,11,2729
94.131.15.79,192.168.0.100,46056,56630,11,6718
192.168.0.100,94.131.15.79,56632,46056,10,2272
94.131.15.79,192.168.0.100,46056,56632,12,6778
192.168.0.100,94.131.15.79,56634,46056,11,2504
94.131.15.79,192.168.0.100,46056,56634,14,6898
192.168.0.100,94.131.15.79,56636,46056,11,2729
94.131.15.79,192.168.0.100,46056,56636,14,6898
192.168.0.100,94.131.15.79,56638,46056,11,2676
94.131.15.79,192.168.0.100,46056,56638,14,6898
192.168.0.100,94.131.15.79,56642,46056,11,2462
94.131.15.79,192.168.0.100,46056,56642,14,6898
192.168.0.100,94.131.15.79,56644,46056,10,2361
94.131.15.79,192.168.0.100,46056,56644,13,6838
192.168.0.100,94.131.15.79,56646,46056,11,2587
94.131.15.79,192.168.0.100,46056,56646,14,6898
192.168.0.100,94.131.15.79,56648,46056,11,2693
94.131.15.79,192.168.0.100,46056,56648,13,6838
192.168.0.100,94.131.15.79,56650,46056,11,2564
94.131.15.79,192.168.0.100,46056,56650,14,6898
192.168.0.100,94.131.15.79,56652,46056,10,2279
94.131.15.79,192.168.0.100,46056,56652,13,6838
192.168.0.100,94.131.15.79,56654,46056,10,2252
94.131.15.79,192.168.0.100,46056,56654,13,6838
192.168.0.100,94.131.15.79,56656,46056,11,2497
94.131.15.79,192.168.0.100,46056,56656,14,6898
192.168.0.100,94.131.15.79,56658,46056,10,2227
94.131.15.79,192.168.0.100,46056,56658,13,6838
192.168.0.100,94.131.15.79,56660,46056,11,2666
94.131.15.79,192.168.0.100,46056,56660,11,6718
192.168.0.100,94.131.15.79,56662,46056,10,2230
94.131.15.79,192.168.0.100,46056,56662,13,6838
192.168.0.100,94.131.15.79,56664,46056,11,2722
94.131.15.79,192.168.0.100,46056,56664,12,6778
192.168.0.100,94.131.15.79,56666,46056,11,2530
94.131.15.79,192.168.0.100,46056,56666,12,6778
192.168.0.100,94.131.15.79,56668,46056,11,2487
94.131.15.79,192.168.0.100,46056,56668,12,6778
192.168.0.100,94.131.15.79,56670,46056,10,2183
94.131.15.79,192.168.0.100,46056,56670,13,6838
192.168.0.100,192.168.0.1,49995,53,1,97
192.168.0.1,192.168.0.100,53,49995,1,113
192.168.0.100,94.131.15.79,56674,46056,11,4510
94.131.15.79,192.168.0.100,46056,56674,15,12500
192.168.0.100,192.168.0.1,55939,53,1,82
192.168.0.1,192.168.0.100,53,55939,1,141
192.168.0.100,94.131.15.79,56677,46056,16,6697
192.168.0.100,94.131.15.79,56678,46056,16,6119
94.131.15.79,192.168.0.100,46056,56677,24,14133
94.131.15.79,192.168.0.100,46056,56678,22,14446
192.168.0.100,192.168.0.1,52064,53,1,85
192.168.0.1,192.168.0.100,53,52064,1,213
192.168.0.100,94.131.15.79,56682,46056,17,7734
94.131.15.79,192.168.0.100,46056,56682,22,16976
